mode,nprocs,px,py,nxg,nyg,nxl,nyl,iters,time_s,residual
local,1,1,1,256,256,256,256,10001,18.301504,3.855732e-01
local,2,2,1,512,256,256,256,10001,19.223304,5.152614e-01
local,4,2,2,512,512,256,256,10001,24.594327,6.885650e-01
local,8,4,2,1024,512,256,256,10001,47.725080,7.616866e-01
